Symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
ITC
SBIN
BHARTIARTL
BAJFINANCE
LTS
HINDUNILVR
AXISBANK
MARUTI
SUNPHARMA
KOTAKBANK
TATAMOTORS
ASIANPAINT
TITAN
WIPRO
HCLTECH
ONGC
NTPC
POWERGRID
M&M
ULTRACEMCO
LT
BAJAJFINSV
NESTLEIND
GRASIM
TECHM
JSWSTEEL
ADANIENT
DIVISLAB
HINDALCO
BPCL
TATASTEEL
COALINDIA
SBI
HEROMOTOCO
EICHERMOT
DRREDDY
BEL
SIEMENS
BAJAJ-AUTO
APOLLOHOSP
ZOMATO
DLF
BANKBARODA
AMBUJACEM
ADANIPORTS
